trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap,entry_atr,entry_adx,entry_spread_points,market_regime_trend,market_regime_volatility,candidate_risk_reward_ratio,risk_budget,mfe,mae,mfe_time,post_peak_mae,close_reason,exit_spread_points,point_value,time_stop_reason_code,range_exit_reason_code,trend_reversal_reason_code,trend_reversal_trend_direction,trend_reversal_peak_price,trend_reversal_peak_mfe_r_multiple,trend_reversal_retracement_r_multiple,trend_reversal_confirmation_count,early_adverse_exit_reason_code,early_adverse_exit_adverse_r_multiple,early_adverse_exit_confirmation_count,hold_time_hours,weekday,session,close_weekday,close_session,r_multiple,mfe_r,mae_r,reached_unrealized_profit_before_loss,giveback_ratio,time_to_peak_hours,peak_to_close_hours,post_peak_mae_r,reached_tp_equivalent_r,time_stop_triggered,range_exit_triggered,trend_reversal_triggered,early_adverse_exit_triggered,atr_band,adx_band,hold_time_band,mfe_band,mae_band,giveback_band
trend-ea-v1-US500_HIST-1674770400:2,trend-ea-v1-US500_HIST-1674770400,US500_HIST,BREAKOUT,BUY,2023-01-26 23:00:00+00:00,2023-01-27 16:00:00+00:00,1.0,4061.7,4046.5,-1972.0,0.0,0.0,15.4785714286,53.5943322882,3.0,TrendUp,HighVolatility,2.0,5000.0,156.0,-2365.0,2023-01-26 23:00:09+00:00,-2365.0,EXPERT,4.0,13.0,,,,,,,,,,,,17.0,Thu,Tokyo,Fri,London_NewYork_Overlap,-0.3944,0.0312,-0.473,True,13.64102564102564,0.0025,16.9975,-0.5042,False,False,False,False,False,ATR_8.283-15.48,ADX_46.72-59,HOLD_H_6.827-22,MFE_-218-2094,MAE_-3054--1790,GIVEBACK_2.355-13.64
trend-ea-v1-US500_HIST-1675094400:4,trend-ea-v1-US500_HIST-1675094400,US500_HIST,PULLBACK,BUY,2023-01-30 17:00:00+00:00,2023-01-30 17:36:19+00:00,2.0,4056.2,4042.7,-3519.0,0.0,0.0,8.3857142857,51.9673876586,3.0,TrendDown,NormalVolatility,2.0,4990.14,1954.0,-3519.0,2023-01-30 17:05:19+00:00,-3519.0,EXPERT,5.0,26.0,,,,,,,,,EarlyAdverseConfirmed,0.8035714286,5.0,0.6052777777777778,Mon,NewYork,Mon,NewYork,-0.705190635934062,0.3915721803396297,-0.705190635934062,True,2.800921187308086,0.08861111111111111,0.5166666666666667,-1.0967628162736915,False,False,False,False,True,ATR_8.283-15.48,ADX_46.72-59,HOLD_H_0.255-2.736,MFE_-218-2094,MAE_-4430--3054,GIVEBACK_2.355-13.64
trend-ea-v1-US500_HIST-1675368000:6,trend-ea-v1-US500_HIST-1675368000,US500_HIST,BREAKOUT,BUY,2023-02-02 21:00:02+00:00,2023-02-02 21:15:23+00:00,1.0,4192.1,4170.3,-2802.0,0.0,0.0,13.7714285714,51.1563156229,3.0,TrendUp,NormalVolatility,2.0,4972.545,244.0,-2802.0,2023-02-02 21:01:31+00:00,-2802.0,EXPERT,3.0,13.0,,,,,,,,,EarlyAdverseConfirmed,0.7758007117,5.0,0.25583333333333336,Thu,NewYork,Thu,NewYork,-0.5634941463576498,0.04906944029666901,-0.5634941463576498,True,12.48360655737705,0.024722222222222222,0.2311111111111111,-0.6125635866543189,False,False,False,False,True,ATR_8.283-15.48,ADX_46.72-59,HOLD_H_0.255-2.736,MFE_-218-2094,MAE_-3054--1790,GIVEBACK_2.355-13.64
trend-ea-v1-US500_HIST-1675936800:8,trend-ea-v1-US500_HIST-1675936800,US500_HIST,PULLBACK,BUY,2023-02-09 11:00:00+00:00,2023-02-09 17:27:16+00:00,2.0,4149.4,4134.8,-3820.0,0.0,0.0,8.4857142857,44.6628068345,4.0,TrendUp,LowVolatility,2.0,4958.535,3036.0,-3820.0,2023-02-09 12:59:26+00:00,-3820.0,EXPERT,5.0,26.0,,,,,,,,,EarlyAdverseConfirmed,0.8390804598,5.0,6.454444444444444,Thu,London,Thu,NewYork,-0.7703888346053824,0.6122776182884663,-0.7703888346053824,True,2.2582345191040845,1.9905555555555556,4.463888888888889,-1.3826664528938488,False,False,False,False,True,ATR_8.283-15.48,ADX_43.14-46.72,HOLD_H_2.736-6.827,MFE_2094-4196,MAE_-4430--3054,GIVEBACK_1.017-2.355
trend-ea-v1-US500_HIST-1676296800:10,trend-ea-v1-US500_HIST-1676296800,US500_HIST,BREAKOUT,BUY,2023-02-13 15:00:00+00:00,2023-02-13 18:44:00+00:00,2.0,4101.2,4129.9,7623.0,0.0,0.0,7.3357142857,44.5004103136,4.0,TrendUp,LowVolatility,2.0,4939.435,7570.0,-2683.0,2023-02-13 18:43:48+00:00,7357.0,TP,3.0,27.0,,,,,,,,,,,,3.7333333333333334,Mon,London_NewYork_Overlap,Mon,NewYork,1.5432939192438,1.5325639470911145,-0.5431795336916064,False,-0.007001321003963012,3.73,0.0033333333333333335,-0.043122340915509566,False,False,False,False,False,ATR_5.924-8.283,ADX_43.14-46.72,HOLD_H_2.736-6.827,MFE_4196-9124,MAE_-3054--1790,GIVEBACK_-0.0239-1.017
trend-ea-v1-US500_HIST-1676311200:12,trend-ea-v1-US500_HIST-1676311200,US500_HIST,BREAKOUT,BUY,2023-02-13 19:00:00+00:00,2023-02-14 15:30:02+00:00,1.0,4128.4,4126.8,-211.0,0.0,0.0,9.3142857143,58.999848912,5.0,TrendUp,NormalVolatility,2.0,4977.55,3329.0,-1126.0,2023-02-14 15:29:11+00:00,26.0,SL,11.0,13.0,,,,,,,,,,,,20.500555555555554,Mon,NewYork,Tue,London_NewYork_Overlap,-0.04239033259334411,0.668802925133851,-0.22621570853130554,True,1.063382397116251,20.48638888888889,0.014166666666666666,-0.66357947182851,False,False,False,False,False,ATR_8.283-15.48,ADX_46.72-59,HOLD_H_6.827-22,MFE_2094-4196,MAE_-1790--161,GIVEBACK_1.017-2.355
trend-ea-v1-US500_HIST-1677531600:14,trend-ea-v1-US500_HIST-1677531600,US500_HIST,PULLBACK,SELL,2023-02-27 22:00:00+00:00,2023-02-28 20:00:00+00:00,1.0,3984.3,3992.9,-1168.0,0.0,0.0,11.8214285714,42.7453686694,3.0,TrendUp,NormalVolatility,2.0,4976.495,2477.0,-1833.0,2023-02-28 10:20:12+00:00,-1833.0,EXPERT,3.0,14.0,,,,,,,,,,,,22.0,Mon,Tokyo,Tue,NewYork,-0.23470334040323562,0.4977398751530947,-0.36833152650610523,True,1.4715381509890997,12.336666666666666,9.663333333333334,-0.8660714016591999,False,False,False,False,False,ATR_8.283-15.48,ADX_40.47-43.14,HOLD_H_6.827-22,MFE_2094-4196,MAE_-3054--1790,GIVEBACK_1.017-2.355
trend-ea-v1-US500_HIST-1681124400:16,trend-ea-v1-US500_HIST-1681124400,US500_HIST,PULLBACK,BUY,2023-04-10 12:00:05+00:00,2023-04-10 14:31:33+00:00,3.0,4106.2,4097.6,-3423.0,0.0,0.0,5.2857142857,41.2885133204,6.0,TrendUp,NormalVolatility,2.0,4970.655,952.0,-3542.0,2023-04-10 12:45:02+00:00,-3542.0,EXPERT,4.0,40.0,,,,,,,,,EarlyAdverseConfirmed,0.7678571429,5.0,2.5244444444444443,Mon,London,Mon,London_NewYork_Overlap,-0.6886416377720844,0.19152405467689873,-0.7125821446066968,True,4.595588235294118,0.7491666666666666,1.7752777777777777,-0.9041061992835955,False,False,False,False,True,ATR_3.02-5.924,ADX_40.47-43.14,HOLD_H_0.255-2.736,MFE_-218-2094,MAE_-4430--3054,GIVEBACK_2.355-13.64
trend-ea-v1-US500_HIST-1681416000:18,trend-ea-v1-US500_HIST-1681416000,US500_HIST,BREAKOUT,BUY,2023-04-13 21:00:00+00:00,2023-04-14 17:19:02+00:00,1.0,4140.5,4140.5,0.0,0.0,0.0,9.3428571429,40.7902719219,3.0,TrendUp,NormalVolatility,2.0,4953.54,3220.0,-344.0,2023-04-14 16:58:38+00:00,27.0,SL,3.0,13.0,,,,,,,,,,,,20.317222222222224,Thu,NewYork,Fri,NewYork,0.0,0.6500401732902127,-0.069445285593737,False,1.0,19.977222222222224,0.34,-0.6445895258744252,False,False,False,False,False,ATR_8.283-15.48,ADX_40.47-43.14,HOLD_H_6.827-22,MFE_2094-4196,MAE_-1790--161,GIVEBACK_-0.0239-1.017
trend-ea-v1-US500_HIST-1681923600:20,trend-ea-v1-US500_HIST-1681923600,US500_HIST,PULLBACK,BUY,2023-04-19 18:00:00+00:00,2023-04-20 01:23:29+00:00,2.0,4148.8,4148.4,-108.0,0.0,0.0,6.2571428571,47.5552463339,3.0,TrendDown,NormalVolatility,2.0,4953.54,4634.0,-1105.0,2023-04-19 21:00:44+00:00,27.0,SL,4.0,27.0,,,,,,,,,,,,7.391388888888889,Wed,NewYork,Thu,Tokyo,-0.02180258966314999,0.935492597213306,-0.2230727923868587,True,1.0233059991368147,3.0122222222222224,4.379166666666666,-0.9300419497975185,False,False,False,False,False,ATR_5.924-8.283,ADX_46.72-59,HOLD_H_6.827-22,MFE_4196-9124,MAE_-1790--161,GIVEBACK_1.017-2.355
