trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap,entry_atr,entry_adx,entry_spread_points,market_regime_trend,market_regime_volatility,candidate_risk_reward_ratio,risk_budget,mfe,mae,mfe_time,post_peak_mae,close_reason,exit_spread_points,point_value,time_stop_reason_code,range_exit_reason_code,trend_reversal_reason_code,trend_reversal_trend_direction,trend_reversal_peak_price,trend_reversal_peak_mfe_r_multiple,trend_reversal_retracement_r_multiple,trend_reversal_confirmation_count,early_adverse_exit_reason_code,early_adverse_exit_adverse_r_multiple,early_adverse_exit_confirmation_count,hold_time_hours,weekday,session,close_weekday,close_session,r_multiple,mfe_r,mae_r,reached_unrealized_profit_before_loss,giveback_ratio,time_to_peak_hours,peak_to_close_hours,post_peak_mae_r,reached_tp_equivalent_r,time_stop_triggered,range_exit_triggered,trend_reversal_triggered,early_adverse_exit_triggered,atr_band,adx_band,hold_time_band,mfe_band,mae_band,giveback_band
trend-ea-v1-US30_HIST-1673265600:2,trend-ea-v1-US30_HIST-1673265600,US30_HIST,BREAKOUT,BUY,2023-01-09 13:00:00+00:00,2023-01-09 18:14:48+00:00,0.3,33731.4,33917.5,7355.0,0.0,0.0,47.1357142857,40.6022046702,24.0,TrendUp,LowVolatility,2.0,5000.0,7279.0,-1997.0,2023-01-09 18:12:07+00:00,6672.0,TP,15.0,4.0,,,,,,,,,,,,5.246666666666667,Mon,London_NewYork_Overlap,Mon,NewYork,1.471,1.4558,-0.3994,False,-0.01044099464212117,5.201944444444444,0.04472222222222222,-0.1214,False,False,False,False,False,ATR_41.25-52.68,ADX_40.16-42.48,HOLD_H_2.169-10.47,MFE_2647-7456,MAE_-2890--255,GIVEBACK_-0.0114-1.883
trend-ea-v1-US30_HIST-1674486000:4,trend-ea-v1-US30_HIST-1674486000,US30_HIST,BREAKOUT,BUY,2023-01-23 16:00:00+00:00,2023-01-23 16:30:56+00:00,0.4,33415.0,33344.4,-3694.0,0.0,0.0,42.1928571429,42.9069145481,18.0,TrendUp,LowVolatility,2.0,5036.775,1266.0,-3773.0,2023-01-23 16:26:27+00:00,-3773.0,EXPERT,15.0,5.0,,,,,,,,,EarlyAdverseConfirmed,0.83847981,5.0,0.5155555555555555,Mon,London_NewYork_Overlap,Mon,London_NewYork_Overlap,-0.7334058003385103,0.2513513111068094,-0.7490904398151595,True,3.9178515007898893,0.44083333333333335,0.07472222222222222,-1.000441750921969,False,False,False,False,True,ATR_41.25-52.68,ADX_42.48-45.03,HOLD_H_0.134-2.169,MFE_-22-1305,MAE_-3950--3652,GIVEBACK_3.74-27.77
trend-ea-v1-US30_HIST-1675094400:6,trend-ea-v1-US30_HIST-1675094400,US30_HIST,PULLBACK,BUY,2023-01-30 17:00:00+00:00,2023-01-30 17:47:18+00:00,0.3,33943.8,33844.8,-3868.0,0.0,0.0,59.1071428571,52.8022892394,15.0,TrendDown,NormalVolatility,2.0,5018.305,2929.0,-3888.0,2023-01-30 17:13:26+00:00,-3888.0,EXPERT,15.0,4.0,,,,,,,,,EarlyAdverseConfirmed,0.8101472995,5.0,0.7883333333333333,Mon,NewYork,Mon,NewYork,-0.7707781810790695,0.5836632089918807,-0.774763590495197,True,2.3205872311369067,0.2238888888888889,0.5644444444444444,-1.3584267994870778,False,False,False,False,True,ATR_52.68-69.73,ADX_45.03-58.59,HOLD_H_0.134-2.169,MFE_2647-7456,MAE_-3950--3652,GIVEBACK_1.883-3.74
trend-ea-v1-US30_HIST-1676325600:8,trend-ea-v1-US30_HIST-1676325600,US30_HIST,BREAKOUT,BUY,2023-02-13 23:00:00+00:00,2023-02-14 15:38:23+00:00,0.2,34248.8,34246.4,-63.0,0.0,0.0,87.35,58.5891127528,15.0,TrendUp,NormalVolatility,2.0,4998.965,6775.0,-3441.0,2023-02-14 15:32:58+00:00,34.0,SL,22.0,3.0,,,,,,,,,,,,16.639722222222222,Mon,Tokyo,Tue,London_NewYork_Overlap,-0.012602608740009182,1.355280543072416,-0.6883424868947872,True,1.00929889298893,16.549444444444443,0.09027777777777778,-1.3484791351809824,False,False,False,False,False,ATR_69.73-88.29,ADX_45.03-58.59,HOLD_H_10.47-54.09,MFE_2647-7456,MAE_-3652--2890,GIVEBACK_-0.0114-1.883
trend-ea-v1-US30_HIST-1681412400:10,trend-ea-v1-US30_HIST-1681412400,US30_HIST,BREAKOUT,BUY,2023-04-13 20:00:00+00:00,2023-04-14 17:09:03+00:00,0.2,33871.3,33870.8,-13.0,0.0,0.0,62.7142857143,42.7237257135,15.0,TrendUp,NormalVolatility,2.0,4998.65,6145.0,-649.0,2023-04-14 15:30:02+00:00,93.0,SL,15.0,3.0,,,,,,,,,,,,21.150833333333335,Thu,NewYork,Fri,NewYork,-0.00260070218959119,1.229331919618297,-0.12983505546497556,True,1.0021155410903173,19.500555555555554,1.6502777777777777,-1.2107268962619908,False,False,False,False,False,ATR_52.68-69.73,ADX_42.48-45.03,HOLD_H_10.47-54.09,MFE_2647-7456,MAE_-2890--255,GIVEBACK_-0.0114-1.883
trend-ea-v1-US30_HIST-1682611200:12,trend-ea-v1-US30_HIST-1682611200,US30_HIST,PULLBACK,BUY,2023-04-27 17:00:00+00:00,2023-04-27 18:12:22+00:00,0.3,33510.3,33423.3,-3499.0,0.0,0.0,52.75,45.087254731,15.0,TrendDown,NormalVolatility,2.0,4998.585,1468.0,-3519.0,2023-04-27 17:15:10+00:00,-3519.0,EXPERT,15.0,4.0,,,,,,,,,EarlyAdverseConfirmed,0.7945205479,5.0,1.2061111111111111,Thu,NewYork,Thu,NewYork,-0.6999980994621477,0.29368311232078675,-0.7039992317825945,True,3.3835149863760217,0.25277777777777777,0.9533333333333334,-0.9976823441033813,False,False,False,False,True,ATR_52.68-69.73,ADX_45.03-58.59,HOLD_H_0.134-2.169,MFE_1305-2647,MAE_-3652--2890,GIVEBACK_1.883-3.74
trend-ea-v1-US30_HIST-1682618400:14,trend-ea-v1-US30_HIST-1682618400,US30_HIST,BREAKOUT,BUY,2023-04-27 19:00:01+00:00,2023-04-28 17:02:56+00:00,0.2,33580.8,33855.8,7497.0,0.0,0.0,69.4285714286,42.6462374567,15.0,TrendDown,NormalVolatility,2.0,4981.09,7456.0,-255.0,2023-04-28 17:02:56+00:00,7456.0,TP,15.0,3.0,,,,,,,,,,,,22.04861111111111,Thu,NewYork,Fri,NewYork,1.5050922589232476,1.4968611287890803,-0.05119361424909006,False,-0.0054989270386266095,22.04861111111111,0.0,0.0,False,False,False,False,False,ATR_52.68-69.73,ADX_42.48-45.03,HOLD_H_10.47-54.09,MFE_2647-7456,MAE_-2890--255,GIVEBACK_-0.0114-1.883
trend-ea-v1-US30_HIST-1683648000:16,trend-ea-v1-US30_HIST-1683648000,US30_HIST,PULLBACK,BUY,2023-05-09 17:00:00+00:00,2023-05-09 17:08:06+00:00,0.4,33644.3,33575.8,-3700.0,0.0,0.0,41.25,50.3812978124,15.0,TrendDown,NormalVolatility,2.0,5018.575,540.0,-3700.0,2023-05-09 17:00:10+00:00,-3700.0,EXPERT,15.0,5.0,,,,,,,,,EarlyAdverseConfirmed,0.7919075145,5.0,0.135,Tue,NewYork,Tue,NewYork,-0.7372610751059813,0.10760026501546754,-0.7372610751059813,True,7.851851851851852,0.002777777777777778,0.1322222222222222,-0.8448613401214489,False,False,False,False,True,ATR_41.25-52.68,ADX_45.03-58.59,HOLD_H_0.134-2.169,MFE_-22-1305,MAE_-3950--3652,GIVEBACK_3.74-27.77
trend-ea-v1-US30_HIST-1684947600:18,trend-ea-v1-US30_HIST-1684947600,US30_HIST,BREAKOUT,SELL,2023-05-24 18:00:00+00:00,2023-05-24 22:32:27+00:00,0.2,32824.8,32928.3,-2883.0,0.0,0.0,67.35,40.7603444326,15.0,TrendDown,NormalVolatility,2.0,5000.075,2104.0,-2925.0,2023-05-24 19:31:32+00:00,-2925.0,EXPERT,15.0,3.0,,,,,,,,,EarlyAdverseConfirmed,0.777027027,5.0,4.5408333333333335,Wed,NewYork,Wed,Tokyo,-0.576591351129733,0.4207936880946786,-0.584991225131623,True,2.3702471482889735,1.5255555555555556,3.015277777777778,-1.0057849132263017,False,False,False,False,True,ATR_52.68-69.73,ADX_40.16-42.48,HOLD_H_2.169-10.47,MFE_1305-2647,MAE_-3652--2890,GIVEBACK_1.883-3.74
trend-ea-v1-US30_HIST-1685548800:20,trend-ea-v1-US30_HIST-1685548800,US30_HIST,BREAKOUT,SELL,2023-05-31 17:00:00+00:00,2023-05-31 20:40:06+00:00,0.3,32832.0,32908.3,-3193.0,0.0,0.0,50.8571428571,46.8546326009,15.0,TrendDown,NormalVolatility,2.0,4985.66,4048.0,-3758.0,2023-05-31 17:37:42+00:00,-3758.0,EXPERT,15.0,4.0,,,,,,,,,EarlyAdverseConfirmed,0.7849794239,5.0,3.6683333333333334,Wed,NewYork,Wed,NewYork,-0.6404367726640003,0.8119286112570854,-0.753761788810308,True,1.788784584980237,0.6283333333333333,3.04,-1.5656904000673932,False,False,False,False,True,ATR_41.25-52.68,ADX_45.03-58.59,HOLD_H_2.169-10.47,MFE_2647-7456,MAE_-3950--3652,GIVEBACK_-0.0114-1.883
trend-ea-v1-US30_HIST-1686672000:22,trend-ea-v1-US30_HIST-1686672000,US30_HIST,BREAKOUT,BUY,2023-06-13 17:00:00+00:00,2023-06-13 17:17:12+00:00,0.3,34201.2,34115.3,-3604.0,0.0,0.0,52.5357142857,41.0208880916,15.0,TrendUp,NormalVolatility,2.0,4969.695,356.0,-3604.0,2023-06-13 17:06:04+00:00,-3604.0,EXPERT,15.0,4.0,,,,,,,,,EarlyAdverseConfirmed,0.7873510541,5.0,0.2866666666666667,Tue,NewYork,Tue,NewYork,-0.7251954093762294,0.07163417473305707,-0.7251954093762294,True,11.123595505617978,0.10111111111111111,0.18555555555555556,-0.7968295841092864,False,False,False,False,True,ATR_41.25-52.68,ADX_40.16-42.48,HOLD_H_0.134-2.169,MFE_-22-1305,MAE_-3652--2890,GIVEBACK_3.74-27.77
trend-ea-v1-US30_HIST-1689026400:24,trend-ea-v1-US30_HIST-1689026400,US30_HIST,BREAKOUT,BUY,2023-07-10 23:00:00+00:00,2023-07-11 15:00:01+00:00,0.2,33971.3,34009.5,1073.0,0.0,0.0,70.3214285714,40.1659025608,15.0,TrendUp,NormalVolatility,2.0,4951.675,1441.0,-2820.0,2023-07-11 09:26:59+00:00,-2820.0,EXPERT,20.0,3.0,,,,,,,,,,,,16.00027777777778,Mon,Tokyo,Tue,London_NewYork_Overlap,0.21669435090146263,0.2910126371379382,-0.5695042586599484,False,0.25537820957668284,10.449722222222222,5.5505555555555555,-0.8605168957978866,False,False,False,False,False,ATR_69.73-88.29,ADX_40.16-42.48,HOLD_H_10.47-54.09,MFE_1305-2647,MAE_-2890--255,GIVEBACK_-0.0114-1.883
trend-ea-v1-US30_HIST-1691528400:26,trend-ea-v1-US30_HIST-1691528400,US30_HIST,PULLBACK,BUY,2023-08-08 22:00:00+00:00,2023-08-09 18:22:45+00:00,0.2,35299.8,35170.8,-3705.0,0.0,0.0,83.4571428571,41.2067434577,15.0,TrendDown,NormalVolatility,2.0,4957.04,3421.0,-3762.0,2023-08-09 12:13:07+00:00,-3762.0,EXPERT,15.0,3.0,,,,,,,,,EarlyAdverseConfirmed,0.7592701589,5.0,20.379166666666666,Tue,Tokyo,Wed,NewYork,-0.7474218485225054,0.690129593467069,-0.7589206461920823,True,2.083016661794797,14.21861111111111,6.160555555555556,-1.4490502396591514,False,False,False,False,True,ATR_69.73-88.29,ADX_40.16-42.48,HOLD_H_10.47-54.09,MFE_2647-7456,MAE_-3950--3652,GIVEBACK_1.883-3.74
trend-ea-v1-US30_HIST-1696273200:28,trend-ea-v1-US30_HIST-1696273200,US30_HIST,BREAKOUT,SELL,2023-10-02 20:00:01+00:00,2023-10-02 21:10:13+00:00,0.1,33264.3,33403.4,-2083.0,0.0,0.0,88.2857142857,45.176836759,15.0,TrendDown,NormalVolatility,2.0,4938.515,-22.0,-2113.0,2023-10-02 20:00:32+00:00,-2113.0,EXPERT,15.0,1.0,,,,,,,,,EarlyAdverseConfirmed,0.7766610832,5.0,1.17,Mon,NewYork,Mon,NewYork,-0.4217867111874723,-0.004454780435009309,-0.42786141178066683,False,,0.008611111111111111,1.1613888888888888,-0.42340663134565754,False,False,False,False,True,ATR_69.73-88.29,ADX_45.03-58.59,HOLD_H_0.134-2.169,MFE_-22-1305,MAE_-2890--255,
trend-ea-v1-US30_HIST-1696410000:30,trend-ea-v1-US30_HIST-1696410000,US30_HIST,BREAKOUT,SELL,2023-10-04 10:00:00+00:00,2023-10-04 10:59:45+00:00,0.2,32832.3,32952.8,-3587.0,0.0,0.0,78.6214285714,45.002193368,20.0,TrendDown,NormalVolatility,2.0,4928.1,134.0,-3647.0,2023-10-04 10:01:01+00:00,-3647.0,EXPERT,20.0,3.0,,,,,,,,,EarlyAdverseConfirmed,0.7592942659,5.0,0.9958333333333333,Wed,London,Wed,London,-0.7278667234836955,0.02719100667600089,-0.7400418010998153,True,27.76865671641791,0.016944444444444446,0.9788888888888889,-0.7672328077758162,False,False,False,False,True,ATR_69.73-88.29,ADX_42.48-45.03,HOLD_H_0.134-2.169,MFE_-22-1305,MAE_-3652--2890,GIVEBACK_3.74-27.77
trend-ea-v1-US30_HIST-1697709600:32,trend-ea-v1-US30_HIST-1697709600,US30_HIST,BREAKOUT,SELL,2023-10-19 11:00:00+00:00,2023-10-19 13:40:53+00:00,0.2,33554.8,33673.3,-3550.0,0.0,0.0,74.9928571429,51.6457455584,20.0,TrendDown,NormalVolatility,2.0,4910.165,389.0,-3625.0,2023-10-19 11:15:10+00:00,-3625.0,EXPERT,20.0,3.0,,,,,,,,,EarlyAdverseConfirmed,0.7821782178,5.0,2.681388888888889,Thu,London,Thu,London_NewYork_Overlap,-0.7229899606225045,0.07922340695271951,-0.738264396410304,True,10.125964010282777,0.25277777777777777,2.428611111111111,-0.8174878033630234,False,False,False,False,True,ATR_69.73-88.29,ADX_45.03-58.59,HOLD_H_2.169-10.47,MFE_-22-1305,MAE_-3652--2890,GIVEBACK_3.74-27.77
trend-ea-v1-US30_HIST-1699653600:34,trend-ea-v1-US30_HIST-1699653600,US30_HIST,BREAKOUT,BUY,2023-11-10 23:00:00+00:00,2023-11-13 05:05:33+00:00,0.2,34276.0,34156.8,-3616.0,0.0,0.0,79.0785714286,42.1522295399,20.0,TrendUp,HighVolatility,2.0,4892.415,1045.0,-3662.0,2023-11-10 23:00:18+00:00,-3662.0,EXPERT,20.0,3.0,,,,,,,,,EarlyAdverseConfirmed,0.7621483376,5.0,54.0925,Fri,Tokyo,Mon,Tokyo,-0.7391032853917748,0.2135959439254438,-0.7485055948851437,True,4.460287081339713,0.005,54.0875,-0.9621015388105875,False,False,False,False,True,ATR_69.73-88.29,ADX_40.16-42.48,HOLD_H_10.47-54.09,MFE_-22-1305,MAE_-3950--3652,GIVEBACK_3.74-27.77
