trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap
trend-ea-v1-GBPJPY_HIST-1505808000:2,trend-ea-v1-GBPJPY_HIST-1505808000,GBPJPY_HIST,BREAKOUT,BUY,2017-09-19 09:00:00+00:00,2017-09-19 09:32:32+00:00,0.09,151.435,151.035,-3600.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1507550400:4,trend-ea-v1-GBPJPY_HIST-1507550400,GBPJPY_HIST,BREAKOUT,BUY,2017-10-09 13:00:00+00:00,2017-10-09 17:14:15+00:00,0.1,148.063,148.063,0.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1507575600:6,trend-ea-v1-GBPJPY_HIST-1507575600,GBPJPY_HIST,PULLBACK,BUY,2017-10-09 20:00:00+00:00,2017-10-10 13:00:00+00:00,0.09,148.12,148.327,1925.0,0.0,62.0
trend-ea-v1-GBPJPY_HIST-1508346000:8,trend-ea-v1-GBPJPY_HIST-1508346000,GBPJPY_HIST,BREAKOUT,BUY,2017-10-18 18:00:00+00:00,2017-10-19 10:38:42+00:00,0.11,148.787,148.787,76.0,0.0,76.0
trend-ea-v1-GBPJPY_HIST-1508518800:10,trend-ea-v1-GBPJPY_HIST-1508518800,GBPJPY_HIST,BREAKOUT,BUY,2017-10-20 18:00:00+00:00,2017-10-23 22:56:59+00:00,0.08,149.6,149.594,7.0,0.0,55.0
trend-ea-v1-GBPJPY_HIST-1510005600:12,trend-ea-v1-GBPJPY_HIST-1510005600,GBPJPY_HIST,BREAKOUT,BUY,2017-11-06 23:00:00+00:00,2017-11-08 04:00:00+00:00,0.11,149.903,149.875,-156.0,0.0,152.0
trend-ea-v1-GBPJPY_HIST-1510830000:14,trend-ea-v1-GBPJPY_HIST-1510830000,GBPJPY_HIST,BREAKOUT,BUY,2017-11-16 12:00:00+00:00,2017-11-16 16:36:51+00:00,0.11,149.251,148.926,-3575.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1512673200:16,trend-ea-v1-GBPJPY_HIST-1512673200,GBPJPY_HIST,BREAKOUT,BUY,2017-12-07 20:00:00+00:00,2017-12-08 06:17:37+00:00,0.06,151.417,152.869,8753.0,0.0,41.0
trend-ea-v1-GBPJPY_HIST-1513612800:18,trend-ea-v1-GBPJPY_HIST-1513612800,GBPJPY_HIST,BREAKOUT,BUY,2017-12-18 17:00:00+00:00,2017-12-18 17:59:41+00:00,0.13,150.841,150.557,-3692.0,0.0,0.0
trend-ea-v1-GBPJPY_HIST-1513760400:20,trend-ea-v1-GBPJPY_HIST-1513760400,GBPJPY_HIST,BREAKOUT,BUY,2017-12-20 10:00:00+00:00,2017-12-20 15:52:05+00:00,0.18,151.442,151.954,9216.0,0.0,0.0
