trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap,entry_atr,entry_adx,entry_spread_points,market_regime_trend,market_regime_volatility,candidate_risk_reward_ratio,risk_budget,mfe,mae,mfe_time,post_peak_mae,close_reason,exit_spread_points,point_value,time_stop_reason_code,range_exit_reason_code,trend_reversal_reason_code,trend_reversal_trend_direction,trend_reversal_peak_price,trend_reversal_peak_mfe_r_multiple,trend_reversal_retracement_r_multiple,trend_reversal_confirmation_count,early_adverse_exit_reason_code,early_adverse_exit_adverse_r_multiple,early_adverse_exit_confirmation_count,hold_time_hours,weekday,session,close_weekday,close_session,r_multiple,mfe_r,mae_r,reached_unrealized_profit_before_loss,giveback_ratio,time_to_peak_hours,peak_to_close_hours,post_peak_mae_r,reached_tp_equivalent_r,time_stop_triggered,range_exit_triggered,trend_reversal_triggered,early_adverse_exit_triggered,atr_band,adx_band,hold_time_band,mfe_band,mae_band,giveback_band
trend-ea-v1-US100_HIST-1704949200:2,trend-ea-v1-US100_HIST-1704949200,US100_HIST,BREAKOUT,BUY,2024-01-11 06:00:00+00:00,2024-01-11 15:30:41+00:00,0.4,16872.4,16806.5,-3841.0,0.0,0.0,41.9714285714,42.3279063106,17.0,TrendUp,NormalVolatility,2.0,5000.0,2702.0,-3876.0,2024-01-11 15:30:01+00:00,-3876.0,EXPERT,29.0,6.0,,,,,,,,,EarlyAdverseConfirmed,0.7698598131,5.0,9.511388888888888,Thu,Tokyo,Thu,London_NewYork_Overlap,-0.7682,0.5404,-0.7752,True,2.421539600296077,9.500277777777777,0.011111111111111112,-1.3156,False,False,False,False,True,ATR_39.14-55.39,ADX_40.29-42.43,HOLD_H_2.164-13.44,MFE_1370-3717,MAE_-4121--3526,GIVEBACK_1.866-3.368
trend-ea-v1-US100_HIST-1705597200:4,trend-ea-v1-US100_HIST-1705597200,US100_HIST,BREAKOUT,BUY,2024-01-18 18:00:00+00:00,2024-01-18 19:13:03+00:00,0.4,16939.6,16877.9,-3659.0,0.0,0.0,40.7357142857,50.3388998997,7.0,TrendUp,NormalVolatility,2.0,4980.795,2724.0,-3706.0,2024-01-18 18:38:16+00:00,-3706.0,EXPERT,5.0,6.0,,,,,,,,,EarlyAdverseConfirmed,0.7506082725,5.0,1.2175,Thu,NewYork,Thu,NewYork,-0.7346216818801015,0.5469006453789004,-0.7440579264956698,True,2.3432452276064613,0.6377777777777778,0.5797222222222222,-1.2909585718745702,False,False,False,False,True,ATR_39.14-55.39,ADX_47.06-58.53,HOLD_H_0.341-2.164,MFE_1370-3717,MAE_-4121--3526,GIVEBACK_1.866-3.368
trend-ea-v1-US100_HIST-1705626000:6,trend-ea-v1-US100_HIST-1705626000,US100_HIST,BREAKOUT,BUY,2024-01-19 02:00:00+00:00,2024-01-19 21:00:00+00:00,0.2,17033.2,17278.9,7285.0,0.0,0.0,61.7357142857,51.4628526764,22.0,TrendUp,NormalVolatility,2.0,4962.5,7276.0,-561.0,2024-01-19 20:59:57+00:00,7261.0,TP,5.0,3.0,,,,,,,,,,,,19.0,Fri,Tokyo,Fri,NewYork,1.4680100755667507,1.4661964735516373,-0.1130478589420655,False,-0.0012369433754810335,18.999166666666667,0.0008333333333333334,-0.003022670025188917,False,False,False,False,False,ATR_55.39-79.77,ADX_47.06-58.53,HOLD_H_13.44-68.56,MFE_3717-9624,MAE_-2856--48,GIVEBACK_-0.00606-1.866
trend-ea-v1-US100_HIST-1706061600:8,trend-ea-v1-US100_HIST-1706061600,US100_HIST,BREAKOUT,BUY,2024-01-24 03:00:00+00:00,2024-01-24 17:42:51+00:00,0.4,17478.2,17642.4,9641.0,0.0,0.0,41.2357142857,41.9775719972,19.0,TrendUp,NormalVolatility,2.0,4998.925,9624.0,-1019.0,2024-01-24 17:42:50+00:00,9600.0,TP,5.0,6.0,,,,,,,,,,,,14.714166666666667,Wed,Tokyo,Wed,NewYork,1.9286146521502123,1.9252139209930135,-0.20384382642268087,False,-0.0017664172901080632,14.713888888888889,0.0002777777777777778,-0.004801032221927714,False,False,False,False,False,ATR_39.14-55.39,ADX_40.29-42.43,HOLD_H_13.44-68.56,MFE_3717-9624,MAE_-2856--48,GIVEBACK_-0.00606-1.866
trend-ea-v1-US100_HIST-1706565600:10,trend-ea-v1-US100_HIST-1706565600,US100_HIST,BREAKOUT,BUY,2024-01-29 23:00:00+00:00,2024-01-30 16:18:15+00:00,0.4,17600.6,17538.2,-3678.0,0.0,0.0,40.9071428571,42.4131707139,7.0,TrendUp,NormalVolatility,2.0,5047.13,1509.0,-3678.0,2024-01-30 02:33:40+00:00,-3678.0,EXPERT,19.0,6.0,,,,,,,,,EarlyAdverseConfirmed,0.7563636364,5.0,17.304166666666667,Mon,Tokyo,Tue,London_NewYork_Overlap,-0.7287309817658748,0.29898179757604815,-0.7287309817658748,True,3.4373757455268388,3.561111111111111,13.743055555555555,-1.027712779341923,False,False,False,False,True,ATR_39.14-55.39,ADX_40.29-42.43,HOLD_H_13.44-68.56,MFE_1370-3717,MAE_-4121--3526,GIVEBACK_3.368-32.38
trend-ea-v1-US100_HIST-1708592400:12,trend-ea-v1-US100_HIST-1708592400,US100_HIST,BREAKOUT,BUY,2024-02-22 10:00:00+00:00,2024-02-23 16:31:47+00:00,0.2,17791.1,18078.0,8631.0,0.0,0.0,72.1357142857,41.0086992111,19.0,TrendUp,HighVolatility,2.0,5028.74,8607.0,-48.0,2024-02-23 16:31:46+00:00,8583.0,TP,7.0,3.0,,,,,,,,,,,,30.529722222222222,Thu,London,Fri,London_NewYork_Overlap,1.7163345092408835,1.7115619419576276,-0.009545134566511692,False,-0.0027884280237016382,30.529444444444444,0.0002777777777777778,-0.004772567283255846,False,False,False,False,False,ATR_55.39-79.77,ADX_40.29-42.43,HOLD_H_13.44-68.56,MFE_3717-9624,MAE_-2856--48,GIVEBACK_-0.00606-1.866
trend-ea-v1-US100_HIST-1709283600:14,trend-ea-v1-US100_HIST-1709283600,US100_HIST,BREAKOUT,BUY,2024-03-01 10:00:00+00:00,2024-03-01 12:13:26+00:00,0.4,18122.9,18069.4,-3221.0,0.0,0.0,34.0714285714,41.9655008485,20.0,TrendUp,NormalVolatility,2.0,5071.895,-30.0,-3257.0,2024-03-01 10:06:45+00:00,-3257.0,EXPERT,20.0,6.0,,,,,,,,,EarlyAdverseConfirmed,0.7599431818,5.0,2.223888888888889,Fri,London,Fri,London,-0.6350683521642305,-0.005914948949061445,-0.6421662909031042,False,,0.1125,2.111388888888889,-0.6362513419540428,False,False,False,False,True,ATR_18.13-39.14,ADX_40.29-42.43,HOLD_H_2.164-13.44,MFE_-30-1370,MAE_-3526--2856,
trend-ea-v1-US100_HIST-1710226800:16,trend-ea-v1-US100_HIST-1710226800,US100_HIST,BREAKOUT,BUY,2024-03-12 08:00:00+00:00,2024-03-12 15:30:01+00:00,0.3,18071.4,17983.1,-3905.0,0.0,0.0,48.1071428571,40.295259597,20.0,TrendDown,NormalVolatility,2.0,5055.79,1084.0,-3963.0,2024-03-12 11:05:41+00:00,-3963.0,EXPERT,35.0,4.0,,,,,,,,,EarlyAdverseConfirmed,0.899185336,5.0,7.500277777777778,Tue,London,Tue,London_NewYork_Overlap,-0.7723817642742282,0.21440763955781392,-0.7838537597487237,True,4.60239852398524,3.0947222222222224,4.405555555555556,-0.9982613993065377,False,False,False,False,True,ATR_39.14-55.39,ADX_40.29-42.43,HOLD_H_2.164-13.44,MFE_-30-1370,MAE_-4121--3526,GIVEBACK_3.368-32.38
trend-ea-v1-US100_HIST-1710255600:18,trend-ea-v1-US100_HIST-1710255600,US100_HIST,PULLBACK,BUY,2024-03-12 16:00:00+00:00,2024-03-12 16:35:46+00:00,0.4,18070.1,18012.7,-3397.0,0.0,0.0,36.1214285714,47.3993572953,23.0,TrendDown,LowVolatility,2.0,5036.265,1289.0,-3397.0,2024-03-12 16:30:47+00:00,-3397.0,EXPERT,11.0,6.0,,,,,,,,,EarlyAdverseConfirmed,0.7715053763,5.0,0.5961111111111111,Tue,London_NewYork_Overlap,Tue,London_NewYork_Overlap,-0.6745077949631324,0.25594364077347,-0.6745077949631324,True,3.635376260667184,0.5130555555555556,0.08305555555555555,-0.9304514357366024,False,False,False,False,True,ATR_18.13-39.14,ADX_47.06-58.53,HOLD_H_0.341-2.164,MFE_-30-1370,MAE_-3526--2856,GIVEBACK_3.368-32.38
trend-ea-v1-US100_HIST-1710262800:20,trend-ea-v1-US100_HIST-1710262800,US100_HIST,BREAKOUT,BUY,2024-03-12 18:00:00+00:00,2024-03-12 19:45:24+00:00,0.2,18175.2,18085.2,-2658.0,0.0,0.0,56.4071428571,47.5956703191,8.0,TrendUp,NormalVolatility,2.0,5019.28,1035.0,-2711.0,2024-03-12 18:24:49+00:00,-2711.0,EXPERT,6.0,3.0,,,,,,,,,EarlyAdverseConfirmed,0.7785467128,5.0,1.7566666666666666,Tue,NewYork,Tue,NewYork,-0.5295580242584594,0.2062048740058335,-0.5401173076616567,True,3.5681159420289856,0.4136111111111111,1.3430555555555554,-0.7463221816674902,False,False,False,False,True,ATR_55.39-79.77,ADX_47.06-58.53,HOLD_H_0.341-2.164,MFE_-30-1370,MAE_-2856--48,GIVEBACK_3.368-32.38
