trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap,entry_atr,entry_adx,entry_spread_points,market_regime_trend,market_regime_volatility,candidate_risk_reward_ratio,risk_budget,mfe,mae,mfe_time,post_peak_mae,close_reason,exit_spread_points,point_value,time_stop_reason_code,range_exit_reason_code,trend_reversal_reason_code,trend_reversal_trend_direction,trend_reversal_peak_price,trend_reversal_peak_mfe_r_multiple,trend_reversal_retracement_r_multiple,trend_reversal_confirmation_count,early_adverse_exit_reason_code,early_adverse_exit_adverse_r_multiple,early_adverse_exit_confirmation_count,hold_time_hours,weekday,session,close_weekday,close_session,r_multiple,mfe_r,mae_r,reached_unrealized_profit_before_loss,giveback_ratio,time_to_peak_hours,peak_to_close_hours,post_peak_mae_r,reached_tp_equivalent_r,time_stop_triggered,range_exit_triggered,trend_reversal_triggered,early_adverse_exit_triggered,atr_band,adx_band,hold_time_band,mfe_band,mae_band,giveback_band
trend-ea-v1-XAUUSD_HIST-1736953200:2,trend-ea-v1-XAUUSD_HIST-1736953200,XAUUSD_HIST,BREAKOUT,BUY,2025-01-15 16:00:00+00:00,2025-01-15 16:21:49+00:00,0.03,2694.1,2686.56,-3532.0,0.0,0.0,4.7735714286,45.5235631186,489.9999999998,TrendUp,NormalVolatility,2.0,5000.0,779.0,-3541.0,2025-01-15 16:01:44+00:00,-3541.0,EXPERT,540.0,0.0,,,,,,,,,EarlyAdverseConfirmed,0.7512204842,5.0,0.3636111111111111,Wed,London_NewYork_Overlap,Wed,London_NewYork_Overlap,-0.7064,0.1558,-0.7082,True,5.534017971758665,0.028888888888888888,0.3347222222222222,-0.864,False,False,False,False,True,ATR_4.448-6.614,ADX_44.28-65.96,HOLD_H_0.363-5.121,MFE_-36-1697,MAE_-4705--2944,GIVEBACK_2.756-28.85
trend-ea-v1-XAUUSD_HIST-1736964000:4,trend-ea-v1-XAUUSD_HIST-1736964000,XAUUSD_HIST,PULLBACK,BUY,2025-01-15 19:00:00+00:00,2025-01-16 15:44:22+00:00,0.02,2689.73,2715.02,7889.0,0.0,0.0,6.475,43.0998559954,540.0,TrendUp,NormalVolatility,2.0,4982.34,7857.0,-479.0,2025-01-16 15:44:21+00:00,7823.0,TP,369.9999999999,0.0,,,,,,,,,,,,20.739444444444445,Wed,NewYork,Thu,London_NewYork_Overlap,1.5833925424599686,1.57696985753682,-0.09613956494338001,False,-0.00407280132366043,20.739166666666666,0.0002777777777777778,-0.0068241027308453455,False,False,False,False,False,ATR_4.448-6.614,ADX_41.66-44.28,HOLD_H_14.83-79.11,MFE_6461-9673,MAE_-1255--170,GIVEBACK_-0.0172-0.0971
trend-ea-v1-XAUUSD_HIST-1737511200:6,trend-ea-v1-XAUUSD_HIST-1737511200,XAUUSD_HIST,BREAKOUT,BUY,2025-01-22 03:00:00+00:00,2025-01-23 11:21:22+00:00,0.02,2748.54,2748.54,0.0,0.0,0.0,5.9539285714,47.7847110976,429.9999999998,TrendUp,NormalVolatility,2.0,5021.785,4563.0,-998.0,2025-01-22 12:38:48+00:00,3.0,SL,380.0000000001,0.0,,,,,,,,,,,,32.35611111111111,Wed,Tokyo,Thu,London,0.0,0.9086410509410499,-0.19873411545894537,False,1.0,9.646666666666667,22.709444444444443,-0.9080436538003918,False,False,False,False,False,ATR_4.448-6.614,ADX_44.28-65.96,HOLD_H_14.83-79.11,MFE_1697-6461,MAE_-1255--170,GIVEBACK_0.0971-2.756
trend-ea-v1-XAUUSD_HIST-1737730800:8,trend-ea-v1-XAUUSD_HIST-1737730800,XAUUSD_HIST,BREAKOUT,BUY,2025-01-24 16:00:00+00:00,2025-01-24 16:30:31+00:00,0.02,2782.67,2773.69,-2810.0,0.0,0.0,5.75,41.9224779019,440.0000000001,TrendUp,NormalVolatility,2.0,5021.785,482.0,-2816.0,2025-01-24 16:09:14+00:00,-2816.0,EXPERT,460.0,0.0,,,,,,,,,EarlyAdverseConfirmed,0.7533557047,5.0,0.5086111111111111,Fri,London_NewYork_Overlap,Fri,London_NewYork_Overlap,-0.5595619884164694,0.09598180726574317,-0.5607567826977857,True,6.829875518672199,0.15388888888888888,0.3547222222222222,-0.656738589963529,False,False,False,False,True,ATR_4.448-6.614,ADX_41.66-44.28,HOLD_H_0.363-5.121,MFE_-36-1697,MAE_-2944--1255,GIVEBACK_2.756-28.85
trend-ea-v1-XAUUSD_HIST-1738094400:10,trend-ea-v1-XAUUSD_HIST-1738094400,XAUUSD_HIST,BREAKOUT,BUY,2025-01-28 21:00:00+00:00,2025-01-29 15:17:36+00:00,0.03,2762.32,2755.09,-3371.0,0.0,0.0,4.6407142857,42.9341753364,300.0000000002,TrendUp,NormalVolatility,2.0,5007.735,1709.0,-3431.0,2025-01-29 10:35:33+00:00,-3431.0,EXPERT,259.9999999998,0.0,,,,,,,,,EarlyAdverseConfirmed,0.7522630319,5.0,18.293333333333333,Tue,NewYork,Wed,London_NewYork_Overlap,-0.6731586236092765,0.3412720521353466,-0.6851400882834255,True,2.972498537156232,13.5925,4.700833333333334,-1.0264121404187723,False,False,False,False,True,ATR_4.448-6.614,ADX_41.66-44.28,HOLD_H_14.83-79.11,MFE_1697-6461,MAE_-4705--2944,GIVEBACK_2.756-28.85
trend-ea-v1-XAUUSD_HIST-1738238400:12,trend-ea-v1-XAUUSD_HIST-1738238400,XAUUSD_HIST,BREAKOUT,BUY,2025-01-30 13:00:00+00:00,2025-01-30 17:56:08+00:00,0.03,2778.64,2796.1,8071.0,0.0,0.0,4.4492857143,42.448861311,449.9999999998,TrendUp,NormalVolatility,2.0,4990.88,7993.0,-1238.0,2025-01-30 17:56:06+00:00,7900.0,TP,250.0,0.0,,,,,,,,,,,,4.935555555555555,Thu,London_NewYork_Overlap,Thu,NewYork,1.6171496810181771,1.6015211746225115,-0.24805244766454013,False,-0.009758538721381209,4.935,0.0005555555555555556,-0.018633988394832175,False,False,False,False,False,ATR_4.448-6.614,ADX_41.66-44.28,HOLD_H_0.363-5.121,MFE_6461-9673,MAE_-1255--170,GIVEBACK_-0.0172-0.0971
trend-ea-v1-XAUUSD_HIST-1739178000:14,trend-ea-v1-XAUUSD_HIST-1739178000,XAUUSD_HIST,BREAKOUT,BUY,2025-02-10 10:00:00+00:00,2025-02-11 02:51:40+00:00,0.02,2895.85,2921.86,7894.0,0.0,0.0,6.6392857143,41.5236005281,589.9999999997,TrendUp,NormalVolatility,2.0,5031.235,7884.0,-1161.0,2025-02-11 02:49:52+00:00,7724.0,TP,469.9999999998,0.0,,,,,,,,,,,,16.86111111111111,Mon,London,Tue,Tokyo,1.5689984665792793,1.5670108830138127,-0.23075845195066422,False,-0.0012683916793505834,16.83111111111111,0.03,-0.03180133704746449,False,False,False,False,False,ATR_6.614-11.43,ADX_40.25-41.66,HOLD_H_14.83-79.11,MFE_6461-9673,MAE_-1255--170,GIVEBACK_-0.0172-0.0971
trend-ea-v1-XAUUSD_HIST-1739376000:16,trend-ea-v1-XAUUSD_HIST-1739376000,XAUUSD_HIST,PULLBACK,BUY,2025-02-12 17:00:00+00:00,2025-02-13 20:00:00+00:00,0.01,2894.84,2918.76,3664.0,0.0,0.0,9.0128571429,45.189794797,579.9999999999,TrendDown,NormalVolatility,2.0,5070.705,4292.0,-1255.0,2025-02-13 07:25:41+00:00,1657.0,EXPERT,529.9999999997,0.0,,,,,,,,,,,,27.0,Wed,NewYork,Thu,NewYork,0.7225819683850668,0.8464306245384025,-0.2475001010707584,False,0.14631873252562907,14.428055555555556,12.571944444444444,-0.5196516066306361,False,False,False,False,False,ATR_6.614-11.43,ADX_44.28-65.96,HOLD_H_14.83-79.11,MFE_1697-6461,MAE_-1255--170,GIVEBACK_0.0971-2.756
trend-ea-v1-XAUUSD_HIST-1739520000:18,trend-ea-v1-XAUUSD_HIST-1739520000,XAUUSD_HIST,BREAKOUT,BUY,2025-02-14 09:00:00+00:00,2025-02-14 15:41:56+00:00,0.02,2934.73,2925.83,-2710.0,0.0,0.0,5.6075,40.7231559505,599.9999999999,TrendUp,NormalVolatility,2.0,5089.025,1556.0,-2717.0,2025-02-14 12:36:47+00:00,-2717.0,EXPERT,619.9999999999,0.0,,,,,,,,,EarlyAdverseConfirmed,0.7513718869,5.0,6.698888888888889,Fri,London,Fri,London_NewYork_Overlap,-0.5325185079656712,0.30575601416774334,-0.5338940170268373,True,2.7416452442159382,3.6130555555555555,3.0858333333333334,-0.8396500311945806,False,False,False,False,True,ATR_4.448-6.614,ADX_40.25-41.66,HOLD_H_5.121-14.83,MFE_-36-1697,MAE_-2944--1255,GIVEBACK_0.0971-2.756
trend-ea-v1-XAUUSD_HIST-1739962800:20,trend-ea-v1-XAUUSD_HIST-1739962800,XAUUSD_HIST,BREAKOUT,BUY,2025-02-19 12:00:06+00:00,2025-02-19 13:56:45+00:00,0.02,2945.63,2935.77,-2995.0,0.0,0.0,6.315,41.6599157652,460.0,TrendUp,NormalVolatility,2.0,5075.475,358.0,-2995.0,2025-02-19 12:06:45+00:00,-2995.0,EXPERT,740.0000000002,0.0,,,,,,,,,EarlyAdverseConfirmed,0.757296467,5.0,1.9441666666666666,Wed,London,Wed,London_NewYork_Overlap,-0.5900925529137666,0.07053527009787261,-0.5900925529137666,True,9.365921787709498,0.11083333333333334,1.8333333333333333,-0.6606278230116392,False,False,False,False,True,ATR_4.448-6.614,ADX_40.25-41.66,HOLD_H_0.363-5.121,MFE_-36-1697,MAE_-4705--2944,GIVEBACK_2.756-28.85
