timestamp,equity,peak_equity,drawdown_amount,drawdown_rate
2017-08-31 23:59:59.999999999+00:00,1000000.0,1000000.0,0.0,0.0
2017-09-01 00:00:00+00:00,1000000.0,1000000.0,0.0,0.0
2017-09-04 00:00:10+00:00,1000000.0,1000000.0,0.0,0.0
2017-09-05 00:00:00+00:00,1000000.0,1000000.0,0.0,0.0
2017-09-06 00:00:00+00:00,1000000.0,1000000.0,0.0,0.0
2017-09-07 00:00:00+00:00,1000000.0,1000000.0,0.0,0.0
2017-09-08 00:00:00+00:00,1000000.0,1000000.0,0.0,0.0
2017-09-11 00:00:08+00:00,1000000.0,1000000.0,0.0,0.0
2017-09-12 00:00:00+00:00,1000000.0,1000000.0,0.0,0.0
2017-09-13 00:00:00+00:00,1000000.0,1000000.0,0.0,0.0
2017-09-14 00:00:00+00:00,1000000.0,1000000.0,0.0,0.0
2017-09-15 00:00:00+00:00,1000000.0,1000000.0,0.0,0.0
2017-09-18 00:00:14+00:00,1000000.0,1000000.0,0.0,0.0
2017-09-19 00:00:00+00:00,996274.0,1000000.0,3726.0,0.003726
2017-09-20 00:00:00+00:00,996274.0,1000000.0,3726.0,0.003726
2017-09-21 00:00:00+00:00,996274.0,1000000.0,3726.0,0.003726
2017-09-22 00:00:00+00:00,996274.0,1000000.0,3726.0,0.003726
2017-09-25 00:00:11+00:00,996274.0,1000000.0,3726.0,0.003726
2017-09-26 00:00:00+00:00,996274.0,1000000.0,3726.0,0.003726
2017-09-27 00:00:00+00:00,996274.0,1000000.0,3726.0,0.003726
2017-09-28 00:00:00+00:00,1006130.0,1006130.0,0.0,0.0
2017-09-29 00:00:00+00:00,1002210.0,1006130.0,3920.0,0.003896116803991532
2017-10-02 00:00:11+00:00,998514.0,1006130.0,7616.0,0.00756959836204069
2017-10-03 00:00:00+00:00,998514.0,1006130.0,7616.0,0.00756959836204069
2017-10-04 00:00:00+00:00,998514.0,1006130.0,7616.0,0.00756959836204069
2017-10-05 00:00:00+00:00,998514.0,1006130.0,7616.0,0.00756959836204069
2017-10-06 00:00:00+00:00,998514.0,1006130.0,7616.0,0.00756959836204069
2017-10-09 00:00:11+00:00,998514.0,1006130.0,7616.0,0.00756959836204069
2017-10-10 00:00:00+00:00,998514.0,1006130.0,7616.0,0.00756959836204069
2017-10-11 00:00:00+00:00,998514.0,1006130.0,7616.0,0.00756959836204069
2017-10-12 00:00:00+00:00,998514.0,1006130.0,7616.0,0.00756959836204069
2017-10-13 00:00:00+00:00,994414.0,1006130.0,11716.0,0.011644618488664486
2017-10-16 00:00:10+00:00,994414.0,1006130.0,11716.0,0.011644618488664486
2017-10-17 00:00:00+00:00,994414.0,1006130.0,11716.0,0.011644618488664486
2017-10-18 00:00:00+00:00,990794.0,1006130.0,15336.0,0.015242563088268912
2017-10-19 00:00:00+00:00,990794.0,1006130.0,15336.0,0.015242563088268912
2017-10-20 00:00:00+00:00,990794.0,1006130.0,15336.0,0.015242563088268912
2017-10-23 00:00:12+00:00,992132.0,1006130.0,13998.0,0.013912715056702414
2017-10-24 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-10-25 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-10-26 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-10-27 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-10-30 00:00:13+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-10-31 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-01 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-02 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-03 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-06 00:00:11+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-07 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-08 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-09 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-10 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-13 00:00:11+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-14 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-15 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-16 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-17 00:00:00+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-20 00:00:11+00:00,987257.0,1006130.0,18873.0,0.018758013377992905
2017-11-21 00:00:00+00:00,986375.0,1006130.0,19755.0,0.019634639658891
2017-11-22 00:00:00+00:00,986579.0,1006130.0,19551.0,0.019431882559907767
2017-11-23 00:00:00+00:00,986579.0,1006130.0,19551.0,0.019431882559907767
2017-11-24 00:00:00+00:00,986579.0,1006130.0,19551.0,0.019431882559907767
2017-11-27 00:00:11+00:00,986579.0,1006130.0,19551.0,0.019431882559907767
2017-11-28 00:00:00+00:00,986579.0,1006130.0,19551.0,0.019431882559907767
2017-11-29 00:00:00+00:00,986579.0,1006130.0,19551.0,0.019431882559907767
2017-11-30 00:00:00+00:00,986579.0,1006130.0,19551.0,0.019431882559907767
2017-12-01 00:00:00+00:00,986579.0,1006130.0,19551.0,0.019431882559907767
2017-12-04 00:00:11+00:00,986579.0,1006130.0,19551.0,0.019431882559907767
