symbol	month	scope	n	mean_price	med_pts	p90_pts	p99_pts	mean_pts	over_fixed	ratio_pts	over_ratio
US500_HIST	2020.04.01	all	14095	2903.33	11	13	14	11.38	0.0000	6.6	0.9999
US500_HIST	2020.04.01	hour	6	2903.65	11	13	13	11.33	0.0000	6.6	1.0000
US500_HIST	2020.05.01	all	654841	2912.04	6	12	14	7.10	0.0000	6.6	0.4864
US500_HIST	2020.05.01	hour	479	2919.09	7	11	14	7.17	0.0000	6.6	0.5094
US500_HIST	2020.06.01	all	903008	3088.81	4	7	7	4.33	0.0000	7.0	0.0014
US500_HIST	2020.06.01	hour	506	3102.53	4	7	7	4.37	0.0000	7.0	0.0020
US500_HIST	2020.07.01	all	550995	3196.91	4	7	7	4.23	0.0000	7.3	0.0005
US500_HIST	2020.07.01	hour	525	3202.19	4	7	7	4.33	0.0000	7.3	0.0038
US500_HIST	2020.08.01	all	552892	3388.41	4	6	7	3.88	0.0000	7.7	0.0006
US500_HIST	2020.08.01	hour	485	3386.31	4	6	7	4.10	0.0000	7.7	0.0021
US500_HIST	2020.09.01	all	1654575	3366.30	3	6	6	3.78	0.0000	7.6	0.0012
US500_HIST	2020.09.01	hour	504	3375.91	4	6	6	4.09	0.0000	7.6	0.0099
US500_HIST	2020.10.01	all	1333034	3401.99	4	6	6	3.84	0.0000	7.7	0.0003
US500_HIST	2020.10.01	hour	508	3423.13	4	6	6	4.05	0.0000	7.7	0.0000
US500_HIST	2020.11.01	all	1560205	3521.51	4	6	6	4.09	0.0000	8.0	0.0034
US500_HIST	2020.11.01	hour	477	3547.35	4	6	6	4.09	0.0000	8.0	0.0021
US500_HIST	2020.12.01	all	811704	3687.67	4	6	6	3.84	0.0000	8.4	0.0004
US500_HIST	2020.12.01	hour	502	3694.47	4	6	6	4.00	0.0000	8.4	0.0040
US500_HIST	2021.01.01	all	1134620	3780.18	4	6	6	3.86	0.0000	8.6	0.0007
US500_HIST	2021.01.01	hour	457	3796.29	4	6	6	4.06	0.0000	8.6	0.0088
US500_HIST	2021.02.01	all	1073707	3865.59	4	6	6	3.82	0.0000	8.8	0.0015
US500_HIST	2021.02.01	hour	457	3885.48	4	6	6	4.04	0.0000	8.8	0.0044
US500_HIST	2021.03.01	all	1689872	3886.89	3	6	6	3.79	0.0000	8.8	0.0003
US500_HIST	2021.03.01	hour	529	3908.48	4	6	6	4.02	0.0000	8.8	0.0038
US500_HIST	2021.04.01	all	583330	4142.43	3	5	6	3.68	0.0000	9.4	0.0002
US500_HIST	2021.04.01	hour	499	4133.55	4	5	6	3.95	0.0000	9.4	0.0000
US500_HIST	2021.05.01	all	936833	4153.85	3	5	6	3.72	0.0000	9.4	0.0001
US500_HIST	2021.05.01	hour	479	4170.80	4	6	6	3.96	0.0000	9.4	0.0000
US500_HIST	2021.06.01	all	583039	4226.98	4	6	6	3.87	0.0000	9.6	0.0001
US500_HIST	2021.06.01	hour	506	4236.35	4	4	6	3.91	0.0000	9.6	0.0000
US500_HIST	2021.07.01	all	624346	4355.71	4	6	6	3.89	0.0000	9.9	0.0000
US500_HIST	2021.07.01	hour	502	4359.28	4	6	6	3.94	0.0000	9.9	0.0000
US500_HIST	2021.08.01	all	570475	4440.24	4	6	6	3.81	0.0000	10.1	0.0000
US500_HIST	2021.08.01	hour	506	4450.24	4	6	6	3.92	0.0000	10.1	0.0000
US500_HIST	2021.09.01	all	927196	4429.76	3	6	6	3.75	0.0000	10.1	0.0001
US500_HIST	2021.09.01	hour	502	4460.57	4	5	6	3.92	0.0000	10.1	0.0000
US500_HIST	2021.10.01	all	1034112	4418.88	4	6	6	3.91	0.0000	10.0	0.0001
US500_HIST	2021.10.01	hour	483	4450.68	4	6	6	4.03	0.0000	10.0	0.0000
US500_HIST	2021.11.01	all	882268	4658.74	4	6	9	3.99	0.0000	10.6	0.0015
US500_HIST	2021.11.01	hour	499	4671.52	4	6	6	4.04	0.0000	10.6	0.0020
US500_HIST	2021.12.01	all	1473278	4636.60	4	6	9	4.03	0.0000	10.5	0.0001
US500_HIST	2021.12.01	hour	506	4674.68	4	6	7	4.13	0.0000	10.5	0.0000
US500_HIST	2022.01.01	all	2416727	4498.22	4	6	6	3.95	0.0000	10.2	0.0001
US500_HIST	2022.01.01	hour	479	4587.54	4	6	6	4.24	0.0000	10.2	0.0000
US500_HIST	2022.02.01	all	2628111	4400.33	4	6	6	4.09	0.0000	10.0	0.0006
US500_HIST	2022.02.01	hour	456	4428.11	4	6	6	4.27	0.0000	10.0	0.0000
US500_HIST	2022.03.01	all	2654886	4332.84	4	6	6	4.16	0.0000	9.8	0.0002
US500_HIST	2022.03.01	hour	529	4382.51	4	6	6	4.32	0.0000	9.8	0.0019
US500_HIST	2022.04.01	all	1595926	4371.14	4	6	6	3.88	0.0000	9.9	0.0001
US500_HIST	2022.04.01	hour	460	4409.95	4	6	6	4.08	0.0000	9.9	0.0043
US500_HIST	2022.05.01	all	2685364	4031.35	3	6	6	3.90	0.0000	9.2	0.0001
US500_HIST	2022.05.01	hour	503	4044.87	4	6	6	4.22	0.0000	9.2	0.0040
US500_HIST	2022.06.01	all	1864122	3887.43	4	6	6	4.08	0.0001	8.8	0.0020
US500_HIST	2022.06.01	hour	503	3903.40	4	6	10	4.47	0.0000	8.8	0.0179
US500_HIST	2022.07.01	all	1175469	3879.23	4	6	6	4.13	0.0000	8.8	0.0018
US500_HIST	2022.07.01	hour	480	3892.83	4	6	8	4.54	0.0000	8.8	0.0083
US500_HIST	2022.08.01	all	969933	4143.68	4	6	6	4.06	0.0000	9.4	0.0005
US500_HIST	2022.08.01	hour	529	4161.88	4	6	6	4.50	0.0000	9.4	0.0019
US500_HIST	2022.09.01	all	1570527	3832.14	4	6	6	4.15	0.0001	8.7	0.0018
US500_HIST	2022.09.01	hour	503	3864.63	4	6	9	4.58	0.0000	8.7	0.0119
US500_HIST	2022.10.01	all	1743208	3706.99	4	6	6	4.25	0.0001	8.4	0.0025
US500_HIST	2022.10.01	hour	483	3716.87	4	6	10	4.45	0.0000	8.4	0.0269
US500_HIST	2022.11.01	all	1199844	3899.14	4	6	6	4.17	0.0001	8.9	0.0025
US500_HIST	2022.11.01	hour	500	3915.47	4	6	9	4.51	0.0000	8.9	0.0200
US500_HIST	2022.12.01	all	1083896	3924.37	4	6	6	4.15	0.0003	8.9	0.0033
US500_HIST	2022.12.01	hour	483	3921.25	4	6	9	4.61	0.0000	8.9	0.0145
US500_HIST	2023.01.01	all	909193	3940.18	4	6	6	4.05	0.0001	8.9	0.0022
US500_HIST	2023.01.01	hour	480	3950.68	4	6	6	4.40	0.0000	8.9	0.0083
US500_HIST	2023.02.01	all	895489	4086.99	4	6	6	4.00	0.0001	9.3	0.0009
